
  0%|                                                    | 0/18 [00:00<?, ?it/s]
tensor(2.3354, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3463, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3210, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3371, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3330, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3407, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3317, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3440, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3399, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3288, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3320, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3371, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3403, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3430, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3375, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3412, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3421, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3379, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3311, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3237, device='mps:0', grad_fn=<NllLossBackward0>)

 11%|████▉                                       | 2/18 [00:13<01:40,  6.27s/it]
tensor(2.3413, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3379, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3422, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3428, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3458, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3394, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3430, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3221, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3480, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3272, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3306, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3422, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3379, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3444, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3326, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3327, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3456, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3474, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3255, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3318, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3438, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3305, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3432, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3390, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3406, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3357, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3260, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3410, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3288, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3374, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3335, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3312, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3300, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3306, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3405, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3459, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3353, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3448, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3314, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3191, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3286, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3509, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3364, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3397, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3366, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3429, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3352, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3404, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3261, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3369, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3277, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3377, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3277, device='mps:0', grad_fn=<NllLossBackward0>)

 17%|███████▎                                    | 3/18 [00:17<01:20,  5.34s/it]
tensor(2.3344, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3261, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3407, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3315, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3329, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3372, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3438, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3351, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3224, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3380, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3482, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3429, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3413, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3351, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3414, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3318, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3397, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3294, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3418, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3403, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3406, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3303, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3386, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3262, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3391, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3340, device='mps:0', grad_fn=<NllLossBackward0>)
tensor(2.3337, device='mps:0', grad_fn=<NllLossBackward0>)
